City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,cooma,-36.2333,149.1333,19.22,73,11,1.6,AU,1738791875
171,nogliki,51.8333,143.1667,-1.74,95,100,13.56,RU,1738791876
172,kailua-kona,19.6406,-155.9956,26.82,66,40,3.09,US,1738791878
173,newport,51.5877,-2.9984,5.3,88,66,3.95,GB,1738791879
174,rio grande,-32.035,-52.0986,25.85,87,0,8.89,BR,1738791880
175,porto novo,6.4965,2.6036,28.9,84,42,3.9,BJ,1738791881
176,kununurra,-15.7667,128.7333,26.99,78,100,3.09,AU,1738791882
177,waajid,3.8096,43.2463,26.38,39,65,5.91,SO,1738791883
178,marathon,44.9,-89.7668,-5.87,66,0,4.63,US,1738791885
179,rockland,41.1668,-74.0496,0.47,41,100,0.45,US,1738791886
180,tual,-5.6667,132.75,28.29,77,100,9.85,ID,1738791887
181,mujiayingzi,42.1167,118.7833,-16.29,77,0,3.03,CN,1738791888
182,jaisalmer,26.9147,70.9181,15.88,16,0,3.32,IN,1738791889
183,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.02,PT,1738791890
184,margaret river,-33.95,115.0667,19.12,80,0,7.79,AU,1738791892
185,san luis de la loma,17.2706,-100.8939,29.21,53,0,3.56,MX,1738791893
186,ndjole,-0.1783,10.7649,24.76,97,97,0.68,GA,1738791894
187,surazh,53.0175,32.3918,-2.58,84,44,3.89,RU,1738791895
188,letlhakane,-21.4167,25.5833,25.86,38,5,1.62,BW,1738791896
189,st. john's,47.5649,-52.7093,-7.79,73,75,10.29,CA,1738791898
190,raahe,64.6833,24.4833,-2.59,96,100,3.71,FI,1738791899
191,tralee,52.2704,-9.7026,3.07,88,1,2.31,IE,1738791900
192,iskateley,67.6803,53.1512,-8.92,92,83,7.42,RU,1738791901
193,teluk intan,4.0259,101.0213,22.01,93,88,1.06,MY,1738791902
194,weyburn,49.6668,-103.8511,-15.88,85,100,2.57,CA,1738791903
195,bamboo flat,11.7,92.7167,24.05,94,40,1.03,IN,1738791905
196,minas de marcona,-15.2119,-75.1103,21.64,65,94,6.71,PE,1738791906
197,yellowknife,62.456,-114.3525,-3.66,88,100,5.66,CA,1738791907
198,luderitz,-26.6481,15.1594,20.06,69,92,11.22,NA,1738791908
199,tazacorte,28.629,-17.9293,18.54,77,75,4.63,ES,1738791909
200,la prairie,45.4168,-73.4992,-12.16,56,0,9.26,CA,1738791912
201,safi,32.1667,-8.8333,11.07,71,1,3.88,MA,1738791913
202,sao joao da barra,-21.6403,-41.0511,27.05,84,0,7.94,BR,1738791914
203,chonchi,-42.6128,-73.8092,17.84,67,81,2.89,CL,1738791915
204,vilyuysk,63.7553,121.6247,-45.98,100,61,1.36,RU,1738791916
205,leirvik,59.7798,5.5005,2.48,82,69,3.29,NO,1738791918
206,monywa,22.1167,95.1333,19.06,58,2,2.76,MM,1738791919
207,amga,60.8953,131.9608,-43.28,100,85,0.54,RU,1738791920
